country,date,cases,deaths,new_cases,new_deaths,last_update
Iran,2020-04-21,84802,5297,77667,4681,2020-07-01T21:43:55Z
Iraq,2020-04-21,1602,83,-83200,-5214,2020-07-01T21:43:55Z
Ireland,2020-04-21,16040,730,14438,647,2020-07-01T21:43:55Z
Israel,2020-04-21,13942,184,-2098,-546,2020-07-01T21:43:55Z
Italy,2020-04-21,183957,24648,170015,24464,2020-07-01T21:43:55Z
Jamaica,2020-04-21,223,6,-183734,-24642,2020-07-01T21:43:55Z
Japan,2020-04-21,11135,263,10912,257,2020-07-01T21:43:55Z
Jordan,2020-04-21,428,7,-10707,-256,2020-07-01T21:43:55Z
Kazakhstan,2020-04-21,1995,19,1567,12,2020-07-01T21:43:55Z
Kenya,2020-04-21,296,14,-1699,-5,2020-07-01T21:43:55Z
Kuwait,2020-04-21,2080,11,1784,-3,2020-07-01T21:43:55Z
Kyrgyzstan,2020-04-21,590,7,-1490,-4,2020-07-01T21:43:55Z
Latvia,2020-04-21,748,9,158,2,2020-07-01T21:43:55Z
Lebanon,2020-04-21,677,21,-71,12,2020-07-01T21:43:55Z
Lesotho,2020-04-21,0,0,-677,-21,2020-07-01T21:43:55Z
Liberia,2020-04-21,101,8,101,8,2020-07-01T21:43:55Z
Libya,2020-04-21,51,1,-50,-7,2020-07-01T21:43:55Z
Liechtenstein,2020-04-21,81,1,30,0,2020-07-01T21:43:55Z
Lithuania,2020-04-21,1350,38,1269,37,2020-07-01T21:43:55Z
Luxembourg,2020-04-21,3618,78,2268,40,2020-07-01T21:43:55Z
Madagascar,2020-04-21,121,0,-3497,-78,2020-07-01T21:43:55Z
Malawi,2020-04-21,18,2,-103,2,2020-07-01T21:43:55Z
Malaysia,2020-04-21,5482,92,5464,90,2020-07-01T21:43:55Z
Maldives,2020-04-21,83,0,-5399,-92,2020-07-01T21:43:55Z
Mali,2020-04-21,258,14,175,14,2020-07-01T21:43:55Z
Malta,2020-04-21,443,3,185,-11,2020-07-01T21:43:55Z
Mauritania,2020-04-21,7,1,-436,-2,2020-07-01T21:43:55Z
Mauritius,2020-04-21,328,9,321,8,2020-07-01T21:43:55Z
Mexico,2020-04-21,9501,857,9173,848,2020-07-01T21:43:55Z
Monaco,2020-04-21,94,3,-9407,-854,2020-07-01T21:43:55Z
Mongolia,2020-04-21,34,0,-60,-3,2020-07-01T21:43:55Z
Montenegro,2020-04-21,313,5,279,5,2020-07-01T21:43:55Z
Morocco,2020-04-21,3209,145,2896,140,2020-07-01T21:43:55Z
Mozambique,2020-04-21,39,0,-3170,-145,2020-07-01T21:43:55Z
Namibia,2020-04-21,16,0,-23,0,2020-07-01T21:43:55Z
Nepal,2020-04-21,43,0,27,0,2020-07-01T21:43:55Z
Netherlands,2020-04-21,34317,3929,34274,3929,2020-07-01T21:43:55Z
Nicaragua,2020-04-21,10,2,-34307,-3927,2020-07-01T21:43:55Z
Niger,2020-04-21,657,20,647,18,2020-07-01T21:43:55Z
Nigeria,2020-04-21,665,22,8,2,2020-07-01T21:43:55Z
Norway,2020-04-21,7191,182,6526,160,2020-07-01T21:43:55Z
Oman,2020-04-21,1508,8,-5683,-174,2020-07-01T21:43:55Z
Pakistan,2020-04-21,10076,212,8568,204,2020-07-01T21:43:55Z
Panama,2020-04-21,4658,136,-5418,-76,2020-07-01T21:43:55Z
Paraguay,2020-04-21,208,8,-4450,-128,2020-07-01T21:43:55Z
Peru,2020-04-21,17837,484,17629,476,2020-07-01T21:43:55Z
Philippines,2020-04-21,6599,437,-11238,-47,2020-07-01T21:43:55Z
Poland,2020-04-21,9856,401,3257,-36,2020-07-01T21:43:55Z
Portugal,2020-04-21,21379,762,11523,361,2020-07-01T21:43:55Z
Qatar,2020-04-21,6533,9,-14846,-753,2020-07-01T21:43:55Z
Romania,2020-04-21,9242,498,2709,489,2020-07-01T21:43:55Z
Russia,2020-04-21,52763,456,43521,-42,2020-07-01T21:43:55Z
Rwanda,2020-04-21,150,0,-52613,-456,2020-07-01T21:43:55Z
Senegal,2020-04-21,412,5,262,5,2020-07-01T21:43:55Z
Serbia,2020-04-21,6890,130,6478,125,2020-07-01T21:43:55Z
Seychelles,2020-04-21,11,0,-6879,-130,2020-07-01T21:43:55Z
Singapore,2020-04-21,9125,11,9114,11,2020-07-01T21:43:55Z
Slovakia,2020-04-21,1199,14,-7926,3,2020-07-01T21:43:55Z
Slovenia,2020-04-21,1344,77,145,63,2020-07-01T21:43:55Z
Somalia,2020-04-21,286,8,-1058,-69,2020-07-01T21:43:55Z
Spain,2020-04-21,204178,21282,203892,21274,2020-07-01T21:43:55Z
Sudan,2020-04-21,107,12,-204071,-21270,2020-07-01T21:43:55Z
Suriname,2020-04-21,10,1,-97,-11,2020-07-01T21:43:55Z
Sweden,2020-04-21,15322,1765,15312,1764,2020-07-01T21:43:55Z
Switzerland,2020-04-21,28063,1478,12741,-287,2020-07-01T21:43:55Z
Tajikistan,2020-04-21,0,0,-28063,-1478,2020-07-01T21:43:55Z
Thailand,2020-04-21,2811,48,2811,48,2020-07-01T21:43:55Z
Timor-Leste,2020-04-21,23,0,-2788,-48,2020-07-01T21:43:55Z
